"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"October 26, 2017",Arkansas,Altheimer,"700 block of Short Front St",1,0,N/A
"October 23, 2017",Alabama,Cullman,"Fox Meadow Trail",1,0,N/A
"October 23, 2017","New York",Greig,"7899 Woodcook Dr",1,0,N/A
"October 21, 2017",Pennsylvania,Bangor,"10124A Upper Little Creek Rd",1,0,N/A
"October 21, 2017",Oklahoma,Tulsa,"2600 block of 28th St",1,0,N/A
"October 20, 2017",Oregon,Sherwood,"19200 block of SW Cipole Rd",1,0,N/A
"October 20, 2017",Kentucky,Georgetown,"200 Block of North Court Street",1,0,N/A
"October 20, 2017","New York",Rochester,"Walnut St",1,0,N/A
"October 19, 2017",Kentucky,Nicholasville,N/A,1,0,N/A
"October 19, 2017",Kentucky,Covington,"E 6th St",1,0,N/A
"October 18, 2017",Indiana,Muncie,"420 E McGalliard Rd",1,0,N/A
"October 17, 2017","South Carolina",Warrenville,"Beckham Rd",1,0,N/A
"October 14, 2017",Illinois,Decatur,"1400 block of E Wellington Way",1,0,N/A
"October 14, 2017",Washington,Kelso,"1500 block of Carroll Rd",1,0,N/A
"October 11, 2017",Oklahoma,"Oklahoma City","1505 Kinkaid Dr",1,0,N/A
"October 11, 2017",Kentucky,Somerset,KY-1003,1,0,N/A
"October 9, 2017",Tennessee,Clarksville,"160 State Line Rd",1,0,N/A
"October 9, 2017","South Carolina","West Columbia","200 block of Hunters Mill Dr",1,0,N/A
"October 9, 2017",Michigan,Detroit,"Goodwin St and Caniff St",1,0,N/A
"October 8, 2017","North Carolina","Elizabeth City","S Desert Rd",1,0,N/A
"October 7, 2017",Missouri,"Saint Louis (University City)","6600 block of Bartmer Ave",1,0,N/A
"October 7, 2017",Kentucky,Hopkinsville,"Beaumont Ct",1,0,N/A
"October 7, 2017",Tennessee,Nashville,"N 7th St",1,0,N/A
"October 7, 2017",Utah,Santaquin,N/A,1,0,N/A
"October 6, 2017",Arkansas,Helena,"300 block of Dinan St",1,0,N/A
"October 6, 2017",Oklahoma,Wynnewood,"25803 N CR 3250",1,0,N/A
"October 5, 2017",Nebraska,Omaha,"183rd St and Emiline St",1,0,N/A
"October 3, 2017",Texas,Dallas,"Whitehurst Dr and Skillman St",1,0,N/A
"October 3, 2017",Florida,Orlando,"222 Neighborhood Market Rd",1,0,N/A
"October 3, 2017",Pennsylvania,Berwick,"W 2nd St",1,0,N/A
"October 2, 2017",Mississippi,Falkner,N/A,1,0,N/A
"October 1, 2017",Georgia,Augusta,"2300 Block of Barton Chapel Rd",1,0,N/A
"October 1, 2017",Indiana,Indianapolis,"1800 block of N Routiers Ave",1,0,N/A
"October 1, 2017","South Carolina",Bowman,N/A,1,0,N/A
"September 30, 2017",Florida,"Port Charlotte","Dorchester St",1,0,N/A
"September 30, 2017",Mississippi,"Horn Lake","Longwood Cove",1,1,N/A
"September 30, 2017",Texas,"Cleveland (Plum Grove)","CR 3560",1,0,N/A
"September 30, 2017",Georgia,Augusta,"2400 Block of Amsterdam Dr",1,0,N/A
"September 28, 2017",Texas,Tornillo,"19000 block of Highland",1,0,N/A
"September 28, 2017",Ohio,"Cleveland (Parma)","6600 block of Brownfield Dr",1,0,N/A
"September 26, 2017",Texas,Garland,"3700 block of Burning Tree Ln",1,0,N/A
"September 24, 2017","New York",Yonkers,"201 Warburton Ave",1,0,N/A
"September 23, 2017",Missouri,"Saint Louis","5400 block of Arlington Ave",1,0,N/A
"September 23, 2017",Missouri,Salem,"CR 621",1,0,N/A
"September 22, 2017",Kansas,Lawrence,"606 N Michigan St",1,0,N/A
"September 22, 2017",Kentucky,Franklin,"303 Pepper St",1,0,N/A
"September 21, 2017",Colorado,"Grand Junction","2100 block of N 17th Cir",1,0,N/A
"September 19, 2017",Texas,Manvel,"5000 block of CR 48",1,0,N/A
"September 17, 2017",Ohio,Fremont,"300 block of Jackson St",1,0,N/A
"September 16, 2017",Montana,Pablo,"Old US Hwy 93",1,0,N/A
"September 15, 2017","South Carolina",Hartsville,"Folly Rd",1,0,N/A
"September 14, 2017",Florida,Jacksonville,"4600 block of Ricker Road",1,0,N/A
"September 14, 2017",Missouri,Pineville,"Good Life Cir and Brush Creek Rd",1,0,N/A
"September 14, 2017",Florida,Tampa,N/A,1,0,N/A
"September 13, 2017","South Carolina",Starr,"Gentry Rd",1,0,N/A
"September 13, 2017",Oklahoma,Tulsa,"W 4th St and S 33rd W Ave",1,0,N/A
"September 12, 2017",California,Oakland,"7100 block of International Blvd",1,0,N/A
"September 11, 2017",Tennessee,Clarksville,"1768 Madison Street",1,0,N/A
